,WEO Country Code,ISO,WEO Subject Code,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
1435,156,CAN,GGR,Canada,638.536,678.872,701.676,731.719,768.941,795.312,816.292,863.598,917.124,938.667,919.593,1070.257,1157.471,1212.35,1245.857,1305.013,1356.945,1411.22,1466.193,1523.743
1436,156,CAN,GGR_NGDP,Canada,38.326,38.267,38.402,38.466,38.545,39.957,40.3,40.343,41.022,40.572,41.413,42.519,41.143,41.919,41.274,41.238,41.147,41.165,41.171,41.256
1437,156,CAN,GGX,Canada,717.466,737.571,747.804,760.152,765.452,796.543,825.471,866.005,909.078,939.067,1162.72,1143.732,1154.416,1228.913,1305.68,1337.382,1388.937,1441.354,1492.437,1546.047
1438,156,CAN,GGX_NGDP,Canada,43.064,41.575,40.926,39.961,38.37,40.018,40.753,40.455,40.662,40.59,52.362,45.438,41.034,42.491,43.256,42.261,42.117,42.043,41.908,41.86
1439,156,CAN,GGXCNL,Canada,-78.93,-58.699,-46.128,-28.433,3.489,-1.231,-9.179,-2.407,8.046,-0.4,-243.127,-73.475,3.055,-16.563,-59.823,-32.369,-31.992,-30.134,-26.244,-22.304
1440,156,CAN,GGXCNL_NGDP,Canada,-4.738,-3.309,-2.525,-1.495,0.175,-0.062,-0.453,-0.112,0.36,-0.017,-10.949,-2.919,0.109,-0.573,-1.982,-1.023,-0.97,-0.879,-0.737,-0.604
1441,156,CAN,GGSB,Canada,-62.765,-54.65,-41.997,-28.496,-11.083,0.24,0.985,-6.73,1.074,-5.245,-189.005,-47.92,-11.46,-18.067,-28.837,-29.531,-31.963,-30.682,-27.438,-24.159
1442,156,CAN,GGSB_NPGDP,Canada,-3.701,-3.07,-2.289,-1.499,-0.561,0.012,0.048,-0.316,0.048,-0.227,-8.226,-1.876,-0.41,-0.624,-0.951,-0.932,-0.969,-0.895,-0.771,-0.655
1443,156,CAN,GGXONLB,Canada,-64.979,-47.915,-33.283,-18.9,8.991,11.709,2.648,1.913,10.339,2.397,-232.151,-89.432,-7.135,-5.858,-45.05,-22.757,-21.238,-17.112,-12.171,-9.795
1444,156,CAN,GGXONLB_NGDP,Canada,-3.9,-2.701,-1.822,-0.994,0.451,0.588,0.131,0.089,0.462,0.104,-10.455,-3.553,-0.254,-0.203,-1.492,-0.719,-0.644,-0.499,-0.342,-0.265
1445,156,CAN,GGXWDN,Canada,470.244,511.847,521.417,507.57,432.723,368.934,364.806,271.515,262.321,200.962,357.39,359.191,438.354,378.868,435.672,461.712,483.811,500.231,519.353,537.963
1446,156,CAN,GGXWDN_NGDP,Canada,28.225,28.852,28.536,26.683,21.691,18.535,18.01,12.684,11.733,8.686,16.095,14.27,15.582,13.1,14.433,14.59,14.671,14.591,14.584,14.566
1447,156,CAN,GGXWDG,Canada,1399.084,1495.292,1592.423,1666.465,1706.446,1831.78,1871.53,1946.747,2029.459,2087.069,2624.671,2856.514,3020.572,3108.896,3201.975,3267.342,3337.578,3410.872,3485.131,3555.213
1448,156,CAN,GGXWDG_NGDP,Canada,83.976,84.286,87.151,87.605,85.541,92.029,92.397,90.942,90.776,90.21,118.2,113.483,107.368,107.495,106.078,103.248,101.205,99.493,97.864,96.259
1449,156,CAN,NGDP_FY,Canada,1666.048,1774.063,1827.201,1902.247,1994.898,1990.441,2025.535,2140.641,2235.675,2313.563,2220.527,2517.123,2813.289,2892.14,3018.52,3164.572,3297.825,3428.244,3561.186,3693.396
